# nu, F_nu
1.000000000000e+15, -5.290989406460e+14
1.433012570000e+15, -1.556499838440e+15
2.053525030000e+15, -4.582323162938e+15
2.942727180000e+15, -1.348500507295e+16
4.216965030000e+15, -3.967513340075e+16
6.042963900000e+15, -1.166920066362e+17
8.659643230000e+15, -3.433668597629e+17
1.240937760000e+16, -1.010050310896e+18
1.778279410000e+16, -2.968575647759e+18
2.548296750000e+16, -8.712558022152e+18
3.651741270000e+16, -2.549756295657e+19
5.232991150000e+16, -7.426944303415e+19
7.498942090000e+16, -2.139071451212e+20
1.074607830000e+17, -6.026856309574e+20
1.539926530000e+17, -1.627139168731e+21
2.206734070000e+17, -4.053704882821e+21
3.162277660000e+17, -8.721928355326e+21
4.531583640000e+17, -1.455039650598e+22
6.493816320000e+17, -1.597869321844e+22
9.305720410000e+17, -9.068597762774e+21
1.333521430000e+18, -1.756333270995e+21
1.910952970000e+18, 1.752882776252e+19
2.738419630000e+18, 1.066849204504e+19
3.924189760000e+18, 1.046552978276e+17
5.623413250000e+18, 5.097616653357e+13
8.058421880000e+18, 4.615927934878e+08
1.154781980000e+19, 1.893476310754e+05
1.654817100000e+19, 1.893471901818e+05
2.371373710000e+19, 1.893471901817e+05
3.398208330000e+19, 1.893471901817e+05
4.869675250000e+19, 1.893471901817e+05
6.978305850000e+19, 1.893471901817e+05
