# x, Trad, Tgas
1.538085937500e-05, 1.000087475924e+00, 1.000000246167e+00
4.614257812500e-05, 1.000119322096e+00, 1.000000907064e+00
7.690429687500e-05, 1.000146442153e+00, 1.000001334594e+00
1.076660156250e-04, 1.000184605683e+00, 1.000002429223e+00
1.384277343750e-04, 1.000212422532e+00, 1.000003058470e+00
1.691894531250e-04, 1.000251572737e+00, 1.000004571729e+00
1.999511718750e-04, 1.000279416798e+00, 1.000005404529e+00
2.307128906250e-04, 1.000319439364e+00, 1.000007337968e+00
2.614746093750e-04, 1.000347379876e+00, 1.000008376967e+00
2.922363281250e-04, 1.000388527825e+00, 1.000010725608e+00
3.229980468750e-04, 1.000416683087e+00, 1.000011974446e+00
3.537597656250e-04, 1.000459001111e+00, 1.000014753859e+00
3.845214843750e-04, 1.000487550039e+00, 1.000016214343e+00
4.152832031250e-04, 1.000531096002e+00, 1.000019419052e+00
4.460449218750e-04, 1.000560220870e+00, 1.000021097023e+00
4.768066406250e-04, 1.000605077643e+00, 1.000024744010e+00
5.075683593750e-04, 1.000634945948e+00, 1.000026642343e+00
5.383300781250e-04, 1.000681211176e+00, 1.000030733694e+00
5.690917968750e-04, 1.000711971242e+00, 1.000032858270e+00
5.998535156250e-04, 1.000759776401e+00, 1.000037413778e+00
6.306152343750e-04, 1.000791553281e+00, 1.000039767384e+00
6.613769531250e-04, 1.000841056065e+00, 1.000044793415e+00
6.921386718750e-04, 1.000873966723e+00, 1.000047387192e+00
7.229003906250e-04, 1.000925329668e+00, 1.000052896699e+00
7.536621093750e-04, 1.000959492856e+00, 1.000055736655e+00
7.844238281250e-04, 1.001012884973e+00, 1.000061754988e+00
8.151855468750e-04, 1.001048422789e+00, 1.000064846359e+00
8.459472656250e-04, 1.001104016886e+00, 1.000071378700e+00
8.767089843750e-04, 1.001141060192e+00, 1.000074737006e+00
9.074707031250e-04, 1.001199035169e+00, 1.000081816796e+00
9.382324218750e-04, 1.001237709547e+00, 1.000085444571e+00
9.689941406250e-04, 1.001298251527e+00, 1.000093078316e+00
9.997558593750e-04, 1.001338692916e+00, 1.000096996801e+00
1.030517578125e-03, 1.001401996748e+00, 1.000105222901e+00
1.061279296875e-03, 1.001444344720e+00, 1.000109433194e+00
1.092041015625e-03, 1.001510615909e+00, 1.000118262105e+00
1.122802734375e-03, 1.001555015127e+00, 1.000122786107e+00
1.153564453125e-03, 1.001624467819e+00, 1.000132258562e+00
1.184326171875e-03, 1.001671068536e+00, 1.000137104619e+00
1.215087890625e-03, 1.001743925748e+00, 1.000147241919e+00
1.245849609375e-03, 1.001792885366e+00, 1.000152429258e+00
1.276611328125e-03, 1.001869379523e+00, 1.000163268748e+00
1.307373046875e-03, 1.001920863748e+00, 1.000168810864e+00
1.338134765625e-03, 1.002001237000e+00, 1.000180380571e+00
1.368896484375e-03, 1.002055419847e+00, 1.000186296124e+00
1.399658203125e-03, 1.002139924828e+00, 1.000198639503e+00
1.430419921875e-03, 1.002196989282e+00, 1.000204946355e+00
1.461181640625e-03, 1.002285889411e+00, 1.000218096030e+00
1.491943359375e-03, 1.002346029329e+00, 1.000224812478e+00
1.522705078125e-03, 1.002439599520e+00, 1.000238819332e+00
1.553466796875e-03, 1.002503023005e+00, 1.000245973086e+00
1.584228515625e-03, 1.002601540909e+00, 1.000260870429e+00
1.614990234375e-03, 1.002668498438e+00, 1.000268479259e+00
1.645751953125e-03, 1.002772188644e+00, 1.000284324805e+00
1.676513671875e-03, 1.002842998140e+00, 1.000292413302e+00
1.707275390625e-03, 1.002952141142e+00, 1.000309248614e+00
1.738037109375e-03, 1.003027048522e+00, 1.000317846144e+00
1.768798828125e-03, 1.003141966857e+00, 1.000335732067e+00
1.799560546875e-03, 1.003221233509e+00, 1.000344862657e+00
1.830322265625e-03, 1.003342267043e+00, 1.000363851565e+00
1.861083984375e-03, 1.003426169132e+00, 1.000373548410e+00
1.891845703125e-03, 1.003553676401e+00, 1.000393704145e+00
1.922607421875e-03, 1.003642505801e+00, 1.000403995536e+00
1.953369140625e-03, 1.003776864817e+00, 1.000425384298e+00
1.984130859375e-03, 1.003870928135e+00, 1.000436300147e+00
2.014892578125e-03, 1.004012535384e+00, 1.000458988824e+00
2.045654296875e-03, 1.004112155778e+00, 1.000470576318e+00
2.076416015625e-03, 1.004261428319e+00, 1.000494636307e+00
2.107177734375e-03, 1.004366957337e+00, 1.000506918308e+00
2.137939453125e-03, 1.004524332508e+00, 1.000532430976e+00
2.168701171875e-03, 1.004636126642e+00, 1.000545455629e+00
2.199462890625e-03, 1.004802069023e+00, 1.000572498484e+00
2.230224609375e-03, 1.004920502168e+00, 1.000586310631e+00
2.260986328125e-03, 1.005095496343e+00, 1.000614980314e+00
2.291748046875e-03, 1.005220968086e+00, 1.000629608090e+00
2.322509765625e-03, 1.005405520717e+00, 1.000659987588e+00
2.353271484375e-03, 1.005538457544e+00, 1.000675496105e+00
2.384033203125e-03, 1.005733102756e+00, 1.000707689642e+00
2.414794921875e-03, 1.005873957272e+00, 1.000724128022e+00
2.445556640625e-03, 1.006079254084e+00, 1.000758229958e+00
2.476318359375e-03, 1.006228506663e+00, 1.000775646669e+00
2.507080078125e-03, 1.006445036741e+00, 1.000811766934e+00
2.537841796875e-03, 1.006603207486e+00, 1.000830218223e+00
2.568603515625e-03, 1.006831564849e+00, 1.000868489276e+00
2.599365234375e-03, 1.006999239801e+00, 1.000888043260e+00
2.630126953125e-03, 1.007239974114e+00, 1.000928577112e+00
2.660888671875e-03, 1.007417786103e+00, 1.000949281102e+00
2.691650390625e-03, 1.007671512849e+00, 1.000992207568e+00
2.722412109375e-03, 1.007860100900e+00, 1.001014138032e+00
2.753173828125e-03, 1.008127527117e+00, 1.001059608126e+00
2.783935546875e-03, 1.008327536311e+00, 1.001082837421e+00
2.814697265625e-03, 1.008609397168e+00, 1.001130984916e+00
2.845458984375e-03, 1.008821502395e+00, 1.001155586299e+00
2.876220703125e-03, 1.009118570430e+00, 1.001206571035e+00
2.906982421875e-03, 1.009343483758e+00, 1.001232625186e+00
2.937744140625e-03, 1.009656572199e+00, 1.001286609308e+00
2.968505859375e-03, 1.009895047511e+00, 1.001314201646e+00
2.999267578125e-03, 1.010225002629e+00, 1.001371363008e+00
3.030029296875e-03, 1.010477848853e+00, 1.001400581650e+00
3.060791015625e-03, 1.010825526823e+00, 1.001461107051e+00
3.091552734375e-03, 1.011093631669e+00, 1.001492053765e+00
3.122314453125e-03, 1.011459872972e+00, 1.001556136129e+00
3.153076171875e-03, 1.011744165008e+00, 1.001588897242e+00
3.183837890625e-03, 1.012129939239e+00, 1.001656731265e+00
3.214599609375e-03, 1.012431381763e+00, 1.001691422302e+00
3.245361328125e-03, 1.012837655953e+00, 1.001763258578e+00
3.276123046875e-03, 1.013157264260e+00, 1.001799998910e+00
3.306884765625e-03, 1.013585085625e+00, 1.001876046295e+00
3.337646484375e-03, 1.013923901844e+00, 1.001914935566e+00
3.368408203125e-03, 1.014374377808e+00, 1.001995435005e+00
3.399169921875e-03, 1.014733485669e+00, 1.002036617513e+00
3.429931640625e-03, 1.015207777610e+00, 1.002121848314e+00
3.460693359375e-03, 1.015588315658e+00, 1.002165455135e+00
3.491455078125e-03, 1.016087645375e+00, 1.002255673808e+00
3.522216796875e-03, 1.016490817828e+00, 1.002301844041e+00
3.552978515625e-03, 1.017016474316e+00, 1.002397360283e+00
3.583740234375e-03, 1.017443537947e+00, 1.002446240973e+00
3.614501953125e-03, 1.017996859972e+00, 1.002547343800e+00
3.645263671875e-03, 1.018449122579e+00, 1.002599084221e+00
3.676025390625e-03, 1.019031507877e+00, 1.002706128916e+00
3.706787109375e-03, 1.019510342955e+00, 1.002760926279e+00
3.737548828125e-03, 1.020123259747e+00, 1.002874241981e+00
3.768310546875e-03, 1.020630112723e+00, 1.002932238319e+00
3.799072265625e-03, 1.021275091091e+00, 1.003052161989e+00
