# x, vel
1.538085937500e-05, 5.189999887241e+07
4.614257812500e-05, 5.189999760371e+07
7.690429687500e-05, 5.189999447228e+07
1.076660156250e-04, 5.189999250521e+07
1.384277343750e-04, 5.189998777350e+07
1.691894531250e-04, 5.189998502465e+07
1.999511718750e-04, 5.189997881809e+07
2.307128906250e-04, 5.189997530284e+07
2.614746093750e-04, 5.189996744036e+07
2.922363281250e-04, 5.189996316442e+07
3.229980468750e-04, 5.189995382264e+07
3.537597656250e-04, 5.189994875850e+07
3.845214843750e-04, 5.189993777297e+07
4.152832031250e-04, 5.189993193381e+07
4.460449218750e-04, 5.189991930128e+07
4.768066406250e-04, 5.189991270810e+07
5.075683593750e-04, 5.189989840991e+07
5.383300781250e-04, 5.189989096755e+07
5.690917968750e-04, 5.189987505847e+07
5.998535156250e-04, 5.189986668467e+07
6.306152343750e-04, 5.189984915762e+07
6.613769531250e-04, 5.189983992136e+07
6.921386718750e-04, 5.189982042323e+07
7.229003906250e-04, 5.189981032678e+07
7.536621093750e-04, 5.189978920381e+07
7.844238281250e-04, 5.189977811647e+07
8.151855468750e-04, 5.189975497012e+07
8.459472656250e-04, 5.189974291291e+07
8.767089843750e-04, 5.189971797275e+07
9.074707031250e-04, 5.189970491815e+07
9.382324218750e-04, 5.189967774528e+07
9.689941406250e-04, 5.189966368329e+07
9.997558593750e-04, 5.189963446559e+07
1.030517578125e-03, 5.189961935323e+07
1.061279296875e-03, 5.189958785936e+07
1.092041015625e-03, 5.189957161443e+07
1.122802734375e-03, 5.189953785187e+07
1.153564453125e-03, 5.189952049705e+07
1.184326171875e-03, 5.189948427110e+07
1.215087890625e-03, 5.189946560158e+07
1.245849609375e-03, 5.189942684496e+07
1.276611328125e-03, 5.189940698286e+07
1.307373046875e-03, 5.189936555616e+07
1.338134765625e-03, 5.189934426913e+07
1.368896484375e-03, 5.189930009735e+07
1.399658203125e-03, 5.189927743841e+07
1.430419921875e-03, 5.189923043890e+07
1.461181640625e-03, 5.189920613725e+07
