# x, Trad, Tgas
1.541402800325e-05, 1.000087236045e+00, 1.000000248460e+00
4.624208400975e-05, 1.000108905247e+00, 1.000000843202e+00
7.707014001625e-05, 1.000151794743e+00, 1.000001295511e+00
1.078981960228e-04, 1.000174908660e+00, 1.000002345675e+00
1.387262520293e-04, 1.000215797557e+00, 1.000002991271e+00
1.695543080358e-04, 1.000243687930e+00, 1.000004463668e+00
2.003823640423e-04, 1.000281368093e+00, 1.000005310449e+00
2.312104200488e-04, 1.000312944429e+00, 1.000007204611e+00
2.620384760553e-04, 1.000348332777e+00, 1.000008253397e+00
2.928665320618e-04, 1.000382970862e+00, 1.000010571392e+00
3.236945880683e-04, 1.000416872745e+00, 1.000011825362e+00
3.545226440748e-04, 1.000454081360e+00, 1.000014570595e+00
3.853507000813e-04, 1.000487194588e+00, 1.000016033784e+00
4.161787560878e-04, 1.000526574268e+00, 1.000019211289e+00
4.470068120943e-04, 1.000559522101e+00, 1.000020888446e+00
4.778348681008e-04, 1.000600728231e+00, 1.000024504965e+00
5.086629241073e-04, 1.000634039003e+00, 1.000026401335e+00
5.394909801138e-04, 1.000676871000e+00, 1.000030465434e+00
5.703190361203e-04, 1.000710977175e+00, 1.000032586862e+00
6.011470921268e-04, 1.000755275635e+00, 1.000037108993e+00
6.319751481333e-04, 1.000790452634e+00, 1.000039461498e+00
6.628032041398e-04, 1.000836380125e+00, 1.000044454181e+00
6.936312601463e-04, 1.000872760825e+00, 1.000047044526e+00
7.244593161528e-04, 1.000920464450e+00, 1.000052522119e+00
7.552873721593e-04, 1.000958183775e+00, 1.000055357894e+00
7.861154281658e-04, 1.001007814109e+00, 1.000061336448e+00
8.169434841723e-04, 1.001047012151e+00, 1.000064426068e+00
8.477715401788e-04, 1.001098724063e+00, 1.000070923372e+00
8.785995961853e-04, 1.001139546603e+00, 1.000074276143e+00
9.094276521918e-04, 1.001193499597e+00, 1.000081311807e+00
9.402557081983e-04, 1.001236098487e+00, 1.000084937959e+00
9.710837642048e-04, 1.001292457189e+00, 1.000092533355e+00
1.001911820211e-03, 1.001336990929e+00, 1.000096443903e+00
1.032739876218e-03, 1.001395925674e+00, 1.000104622049e+00
1.063567932224e-03, 1.001442559985e+00, 1.000108828989e+00
1.094395988231e-03, 1.001504247335e+00, 1.000117615599e+00
1.125224044237e-03, 1.001553155575e+00, 1.000122132563e+00
1.156052100244e-03, 1.001617778968e+00, 1.000131555397e+00
1.186880156250e-03, 1.001669142478e+00, 1.000136396195e+00
1.217708212257e-03, 1.001736893191e+00, 1.000146483517e+00
1.248536268263e-03, 1.001790901539e+00, 1.000151663031e+00
1.279364324270e-03, 1.001861979728e+00, 1.000162447451e+00
1.310192380276e-03, 1.001918830801e+00, 1.000167982966e+00
1.341020436283e-03, 1.001993446442e+00, 1.000179498797e+00
1.371848492289e-03, 1.002053346730e+00, 1.000185407150e+00
1.402676548296e-03, 1.002131720508e+00, 1.000197689656e+00
1.433504604302e-03, 1.002194885675e+00, 1.000203989804e+00
1.464332660309e-03, 1.002277249746e+00, 1.000217079345e+00
1.495160716315e-03, 1.002343905128e+00, 1.000223791912e+00
1.525988772322e-03, 1.002430503815e+00, 1.000237729779e+00
1.556816828328e-03, 1.002500884891e+00, 1.000244875869e+00
1.587644884335e-03, 1.002591975694e+00, 1.000259706430e+00
1.618472940341e-03, 1.002666328925e+00, 1.000267309025e+00
1.649300996348e-03, 1.002762183683e+00, 1.000283079026e+00
1.680129052354e-03, 1.002840767462e+00, 1.000291161799e+00
1.710957108361e-03, 1.002941673090e+00, 1.000307921987e+00
1.741785164367e-03, 1.003024758471e+00, 1.000316512256e+00
1.772613220374e-03, 1.003131017353e+00, 1.000334318691e+00
1.803441276380e-03, 1.003218889036e+00, 1.000343444165e+00
1.834269332387e-03, 1.003330819560e+00, 1.000362350937e+00
1.865097388393e-03, 1.003423777302e+00, 1.000372038907e+00
1.895925444400e-03, 1.003541714102e+00, 1.000392106995e+00
1.926753500406e-03, 1.003640073982e+00, 1.000402391116e+00
1.957581556413e-03, 1.003764368034e+00, 1.000423688828e+00
1.988409612419e-03, 1.003868463780e+00, 1.000434601982e+00
2.019237668426e-03, 1.003999482927e+00, 1.000457193267e+00
2.050065724432e-03, 1.004109667595e+00, 1.000468768507e+00
2.080893780439e-03, 1.004247797329e+00, 1.000492728179e+00
2.111721836445e-03, 1.004364445070e+00, 1.000505006152e+00
2.142549892452e-03, 1.004510089313e+00, 1.000530413938e+00
2.173377948458e-03, 1.004633596742e+00, 1.000543432658e+00
2.204206004465e-03, 1.004787178507e+00, 1.000570366486e+00
2.235034060471e-03, 1.004917965902e+00, 1.000584168036e+00
2.265862116478e-03, 1.005079928177e+00, 1.000612718166e+00
2.296690172484e-03, 1.005218440865e+00, 1.000627348281e+00
2.327518228491e-03, 1.005389247536e+00, 1.000657604529e+00
2.358346284497e-03, 1.005535956809e+00, 1.000673108690e+00
2.389174340504e-03, 1.005716094230e+00, 1.000705169892e+00
2.420002396510e-03, 1.005871498396e+00, 1.000721601070e+00
2.450830452517e-03, 1.006061477753e+00, 1.000755573037e+00
2.481658508523e-03, 1.006226102714e+00, 1.000772982870e+00
2.512486564530e-03, 1.006426461808e+00, 1.000808971104e+00
